parameters: 
starting potential, V: -0.5
end potential, V: 0.3
step potential, V: 0.002
frequency, Hz: 25
amplitude, V: 0.02
potential/V SWV_Current/A Ox_Current/A
-0.5 5.47727e-13 3.30257e-13
-0.498 5.96113e-13 3.69953e-13
-0.496 6.45826e-13 4.08438e-13
-0.494 6.99292e-13 4.49196e-13
-0.492 7.571e-13 4.92899e-13
-0.49 8.1965e-13 5.39892e-13
-0.488 8.87342e-13 5.90486e-13
-0.486 9.60602e-13 6.45006e-13
-0.484 1.03989e-12 7.03799e-13
-0.482 1.12571e-12 7.67238e-13
-0.48 1.21859e-12 8.35723e-13
-0.478 1.31912e-12 9.09686e-13
-0.476 1.42793e-12 9.89594e-13
-0.474 1.5457e-12 1.07595e-12
-0.472 1.67318e-12 1.16929e-12
-0.47 1.81116e-12 1.27021e-12
-0.468 1.96052e-12 1.37933e-12
-0.466 2.12218e-12 1.49735e-12
-0.464 2.29716e-12 1.625e-12
-0.462 2.48657e-12 1.76308e-12
-0.46 2.69159e-12 1.91245e-12
-0.458 2.9135e-12 2.07406e-12
-0.456 3.15371e-12 2.24891e-12
-0.454 3.41372e-12 2.43811e-12
-0.452 3.69515e-12 2.64283e-12
-0.45 3.99979e-12 2.86437e-12
-0.448 4.32954e-12 3.10411e-12
-0.446 4.68646e-12 3.36355e-12
-0.444 5.07281e-12 3.64432e-12
-0.442 5.49101e-12 3.94818e-12
-0.44 5.94367e-12 4.27704e-12
-0.438 6.43366e-12 4.63296e-12
-0.436 6.96403e-12 5.01817e-12
-0.434 7.53812e-12 5.4351e-12
-0.432 8.15953e-12 5.88635e-12
-0.43 8.83217e-12 6.37475e-12
-0.428 9.56026e-12 6.90338e-12
-0.426 1.03484e-11 7.47554e-12
-0.424 1.12014e-11 8.09483e-12
-0.422 1.21248e-11 8.76514e-12
-0.42 1.31243e-11 9.49067e-12
-0.418 1.42062e-11 1.0276e-11
-0.416 1.53773e-11 1.1126e-11
-0.414 1.66449e-11 1.2046e-11
-0.412 1.8017e-11 1.30419e-11
-0.41 1.95023e-11 1.41198e-11
-0.408 2.11099e-11 1.52865e-11
-0.406 2.28501e-11 1.65494e-11
-0.404 2.47337e-11 1.79164e-11
-0.402 2.67726e-11 1.93961e-11
-0.4 2.89796e-11 2.09976e-11
-0.398 3.13685e-11 2.27312e-11
-0.396 3.39543e-11 2.46077e-11
-0.394 3.67533e-11 2.66388e-11
-0.392 3.9783e-11 2.88373e-11
-0.39 4.30625e-11 3.12171e-11
-0.388 4.66123e-11 3.3793e-11
-0.386 5.04547e-11 3.65812e-11
-0.384 5.46139e-11 3.95992e-11
-0.382 5.91159e-11 4.2866e-11
-0.38 6.3989e-11 4.64021e-11
-0.378 6.92639e-11 5.02296e-11
-0.376 7.49735e-11 5.43726e-11
-0.374 8.11539e-11 5.88572e-11
-0.372 8.78437e-11 6.37114e-11
-0.37 9.50849e-11 6.89657e-11
-0.368 1.02923e-10 7.46532e-11
-0.366 1.11407e-10 8.08094e-11
-0.364 1.20591e-10 8.74732e-11
-0.362 1.30532e-10 9.46862e-11
-0.36 1.41292e-10 1.02494e-10
-0.358 1.52939e-10 1.10945e-10
-0.356 1.65547e-10 1.20093e-10
-0.354 1.79193e-10 1.29995e-10
-0.352 1.93965e-10 1.40713e-10
-0.35 2.09954e-10 1.52315e-10
-0.348 2.27261e-10 1.64873e-10
-0.346 2.45995e-10 1.78466e-10
-0.344 2.66273e-10 1.93179e-10
-0.342 2.88223e-10 2.09106e-10
-0.34 3.11982e-10 2.26345e-10
-0.338 3.37699e-10 2.45006e-10
-0.336 3.65537e-10 2.65205e-10
-0.334 3.95669e-10 2.87068e-10
-0.332 4.28286e-10 3.10734e-10
-0.33 4.6359e-10 3.36351e-10
-0.328 5.01806e-10 3.6408e-10
-0.326 5.43171e-10 3.94094e-10
-0.324 5.87946e-10 4.26583e-10
-0.322 6.36412e-10 4.61749e-10
-0.32 6.88873e-10 4.99814e-10
-0.318 7.45659e-10 5.41017e-10
-0.316 8.07126e-10 5.85617e-10
-0.314 8.73659e-10 6.33893e-10
-0.312 9.45677e-10 6.86148e-10
-0.31 1.02363e-09 7.42711e-10
-0.308 1.10801e-09 8.03937e-10
-0.306 1.19935e-09 8.70209e-10
-0.304 1.29821e-09 9.41944e-10
-0.302 1.40523e-09 1.01959e-09
-0.3 1.52106e-09 1.10364e-09
-0.298 1.64645e-09 1.19462e-09
-0.296 1.78217e-09 1.2931e-09
-0.294 1.92907e-09 1.39969e-09
-0.292 2.08809e-09 1.51507e-09
-0.29 2.26021e-09 1.63996e-09
-0.288 2.44653e-09 1.77515e-09
-0.286 2.64819e-09 1.92148e-09
-0.284 2.86649e-09 2.07987e-09
-0.282 3.10277e-09 2.25131e-09
-0.28 3.35853e-09 2.43689e-09
